window,market,code,name,cat,strategy,priceChange,return,maxDrawdown,sharpe,tradeCount,ok,err
W1,A,600378,"昊华科技",收藏夹,trend2,-22.11,-9.70,11.44,-1.42,6,true,
W1,A,513260,"恒生科技ETF汇添富",收藏夹,trend6,5.55,-0.22,23.19,0.12,8,true,
W1,A,515180,"红利ETF易方达",收藏夹,trend5,-12.88,-4.26,4.26,-1.47,2,true,
W1,A,603773,"沃格光电",收藏夹,trend5,21.73,-13.99,12.14,-0.47,4,true,
W1,A,600378,"昊华科技",收藏夹,trend3,-22.11,-10.33,10.33,-2.50,2,true,
W1,A,603773,"沃格光电",收藏夹,trend6,21.73,-13.43,15.04,-0.66,6,true,
W1,A,600378,"昊华科技",收藏夹,trend5,-22.11,-10.33,10.33,-2.50,2,true,
W2,A,603773,"沃格光电",收藏夹,trend,31.07,26.93,17.25,1.53,12,true,
W2,A,513260,"恒生科技ETF汇添富",收藏夹,trend,16.81,5.69,4.02,0.84,16,true,
W1,A,600378,"昊华科技",收藏夹,trend6,-22.11,-4.06,4.06,-1.44,2,true,
W2,A,603773,"沃格光电",收藏夹,trend2,31.07,4.05,2.48,0.44,10,true,
W1,A,515180,"红利ETF易方达",收藏夹,trend6,-12.88,-1.98,1.98,-1.14,2,true,
W2,A,603773,"沃格光电",收藏夹,trend3,31.07,30.11,0.00,1.55,2,true,
W2,A,513260,"恒生科技ETF汇添富",收藏夹,trend2,16.81,1.73,2.32,0.44,8,true,
W2,A,600378,"昊华科技",收藏夹,trend,16.28,10.16,10.39,1.51,6,true,
W2,A,513260,"恒生科技ETF汇添富",收藏夹,trend3,16.81,12.31,0.00,1.94,4,true,
W2,A,515180,"红利ETF易方达",收藏夹,trend,5.54,-6.24,6.27,-1.04,20,true,
W2,A,603773,"沃格光电",收藏夹,trend5,31.07,28.21,0.00,1.50,2,true,
W2,A,515180,"红利ETF易方达",收藏夹,trend2,5.54,-0.24,0.24,-0.51,2,true,
W2,A,600378,"昊华科技",收藏夹,trend2,16.28,-3.00,5.58,-0.30,8,true,
W2,A,513260,"恒生科技ETF汇添富",收藏夹,trend5,16.81,4.00,4.50,0.76,6,true,
W2,A,600378,"昊华科技",收藏夹,trend3,16.28,17.11,0.00,1.84,2,true,
W2,A,603773,"沃格光电",收藏夹,trend6,31.07,35.60,0.00,1.83,2,true,
W2,A,515180,"红利ETF易方达",收藏夹,trend3,5.54,3.87,0.00,0.97,2,true,
W3,A,603773,"沃格光电",收藏夹,trend,2.37,-27.31,13.56,-1.49,16,true,
W2,A,513260,"恒生科技ETF汇添富",收藏夹,trend6,16.81,4.00,4.50,0.76,6,true,
W2,A,600378,"昊华科技",收藏夹,trend5,16.28,13.21,0.00,1.54,2,true,
W3,A,513260,"恒生科技ETF汇添富",收藏夹,trend,-29.99,-7.75,3.05,-2.21,8,true,
W2,A,515180,"红利ETF易方达",收藏夹,trend5,5.54,1.12,0.54,0.32,4,true,
